Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/9655.png,https://www.personality-database.com/profile/9655/peter-shukoff-nice-peter-online-musicians-music-critics-mbti-personality-type,,3,,,,,,,,,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/50184.png,https://www.personality-database.com/profile/50184/regis-tadeu-online-musicians-music-critics-mbti-personality-type,,2,,,,,,,,,,,,,,
Fi,Fi,,100%,,Si,,,50%,0%,100%,,0%,50%,,Ni,50%,https://api.personality-database.com/profile_images/15297.png,https://www.personality-database.com/profile/15297/rob-scallon-online-musicians-music-critics-mbti-personality-type,,3,,,,,,,,,,,,3,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,https://api.personality-database.com/profile_images/26399.png,https://www.personality-database.com/profile/26399/soraru-online-musicians-music-critics-mbti-personality-type,,,,,,,,,,,5,,,,,
Ti,Ne,75%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/32166.png,https://www.personality-database.com/profile/32166/steve-terreberry-stevie-t-online-musicians-music-critics-mbti-personality-type,,,,3,,,,,,,,1,,,,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/44565/tseries-online-musicians-music-critics-mbti-personality-type,,,1,,,,,,,,,,,,,
Te,Ni,,,100%,Se,70%,100%,0%,100%,,,0%,0%,100%,Fi,,https://api.personality-database.com/profile_images/29209.png,https://www.personality-database.com/profile/29209/titanic-sinclair-online-filmmakers-mbti-personality-type,,,,,,,,,,,7,3,,,,
Ne,Fi,,71%,100%,Te,,86%,57%,29%,86%,,0%,14%,,Si,,https://api.personality-database.com/profile_images/16443.png,https://www.personality-database.com/profile/16443/todd-in-the-shadows-online-musicians-music-critics-mbti-personality-type,,,,,,,,,,4,1,1,,1,,
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,/images/profile_transparent.png,https://www.personality-database.com/profile/48751/tom-macdonald-online-musicians-music-critics-mbti-personality-type,,,,,,1,,,,,,,,,,
Fi,Ne,100%,80%,,Si,,60%,60%,0%,80%,,20%,20%,,Te,,https://api.personality-database.com/profile_images/20983.png,https://www.personality-database.com/profile/20983/tristan-paredes-online-musicians-music-critics-mbti-personality-type,,3,,,,1,1,,,,,,,,,
