category,subcategory,profile
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/12/presidents-of-the-usa-political-mbti-personality-type,https://www.personality-database.com/profile/449/donald-trump-presidents-of-the-usa-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/12/presidents-of-the-usa-political-mbti-personality-type,https://www.personality-database.com/profile/70/barack-obama-presidents-of-the-usa-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/12/presidents-of-the-usa-political-mbti-personality-type,https://www.personality-database.com/profile/71/george-w-bush-presidents-of-the-usa-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/12/presidents-of-the-usa-political-mbti-personality-type,https://www.personality-database.com/profile/72/bill-clinton-presidents-of-the-usa-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/12/presidents-of-the-usa-political-mbti-personality-type,https://www.personality-database.com/profile/73/george-h-w-bush-presidents-of-the-usa-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/12/presidents-of-the-usa-political-mbti-personality-type,https://www.personality-database.com/profile/74/ronald-reagan-presidents-of-the-usa-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/12/presidents-of-the-usa-political-mbti-personality-type,https://www.personality-database.com/profile/75/jimmy-carter-presidents-of-the-usa-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/12/presidents-of-the-usa-political-mbti-personality-type,https://www.personality-database.com/profile/76/gerald-ford-presidents-of-the-usa-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/12/presidents-of-the-usa-political-mbti-personality-type,https://www.personality-database.com/profile/77/richard-nixon-presidents-of-the-usa-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/12/presidents-of-the-usa-political-mbti-personality-type,https://www.personality-database.com/profile/311/lyndon-b-johnson-presidents-of-the-usa-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/12/presidents-of-the-usa-political-mbti-personality-type,https://www.personality-database.com/profile/312/john-f-kennedy-presidents-of-the-usa-mbti-personality-type
