Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,name,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Te,Ni,,,100%,Se,82%,91%,18%,73%,,,0%,9%,73%,Fi,,https://api.personality-database.com/profile_images/23604.png,Cillian Murphy,https://www.personality-database.com/profile/23604/cillian-murphy-actors-british-isles-mbti-personality-type,,,,,,,,,1,1,8,,,1,,
Te,Ni,,,89%,Se,100%,78%,0%,78%,,,22%,0%,89%,Fi,,https://api.personality-database.com/profile_images/3144.png,Clive Owen,https://www.personality-database.com/profile/3144/clive-owen-actors-british-isles-mbti-personality-type,,,,,1,,,,,,7,,,,1,
Se,Fi,,83%,75%,Te,,,8%,0%,100%,92%,0%,92%,,Ni,,https://api.personality-database.com/profile_images/9821.png,Colin Farrell,https://www.personality-database.com/profile/9821/colin-farrell-actors-british-isles-mbti-personality-type,,1,,,,1,,1,,,,,,8,,1
Te,Ni,,,100%,Se,84%,97%,24%,74%,,,3%,0%,76%,Fi,,https://api.personality-database.com/profile_images/1019.png,Colin Firth,https://www.personality-database.com/profile/1019/colin-firth-actors-british-isles-mbti-personality-type,,,,,,,,,3,6,28,,,,1,
Ne,Fi,,100%,100%,Te,,67%,67%,0%,100%,,0%,33%,,Si,,https://api.personality-database.com/profile_images/29453.png,Colin Morgan,https://www.personality-database.com/profile/29453/colin-morgan-actors-british-isles-mbti-personality-type,,,,,,,,,,2,,,,1,,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,/images/profile_transparent.png,Craig Charles,https://www.personality-database.com/profile/22597/craig-charles-actors-british-isles-mbti-personality-type,,,1,,,,,,,,,,,,,
Fe,Ni,,67%,100%,Se,83%,100%,67%,33%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/27701.png,Dan Stevens,https://www.personality-database.com/profile/27701/dan-stevens-actors-british-isles-mbti-personality-type,,,,,,,,,3,1,2,,,,,
Se,Ti,,,100%,Fe,,,0%,3%,94%,97%,3%,94%,100%,Ni,,https://api.personality-database.com/profile_images/1041.png,Daniel Craig,https://www.personality-database.com/profile/1041/daniel-craig-actors-british-isles-mbti-personality-type,,,,,,,,,,,1,,,,1,31
Fe,Ni,,92%,100%,Se,96%,100%,92%,8%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/9052.png,Daniel Day-Lewis,https://www.personality-database.com/profile/9052/daniel-daylewis-actors-british-isles-mbti-personality-type,,,,,,,,,22,1,2,,,,,
Fi,Ne,90%,92%,,Si,,95%,87%,8%,99%,,1%,4%,,Te,,https://api.personality-database.com/profile_images/587.png,Daniel Radcliffe,https://www.personality-database.com/profile/587/daniel-radcliffe-actors-british-isles-mbti-personality-type,,66,,2,,2,,,,2,,4,1,1,,
Ti,Ne,100%,,,Ni,,,0%,50%,100%,,0%,50%,100%,Fe,50%,/images/profile_transparent.png,Danny Dyer,https://www.personality-database.com/profile/20583/danny-dyer-actors-british-isles-mbti-personality-type,,,,2,,,,2,,,,,,,,
Ti,Ne,100%,,,Si,,100%,11%,89%,100%,,0%,0%,89%,Fe,,https://api.personality-database.com/profile_images/10916.png,David Tennant,https://www.personality-database.com/profile/10916/david-tennant-actors-british-isles-mbti-personality-type,,2,,16,,,,,,,,,,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/35020.png,David Thewlis,https://www.personality-database.com/profile/35020/david-thewlis-actors-british-isles-mbti-personality-type,,,,,,,,,,2,,,,,,
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,/images/profile_transparent.png,Delroy Lindo,https://www.personality-database.com/profile/22518/delroy-lindo-actors-british-isles-mbti-personality-type,,,,,,1,,,,,,,,,,
Se,Fi,,100%,100%,Te,,,17%,0%,100%,83%,0%,83%,,Ni,,https://api.personality-database.com/profile_images/10400.png,Domhnall Gleeson,https://www.personality-database.com/profile/10400/domhnall-gleeson-actors-british-isles-mbti-personality-type,,,,,,,,,,1,,,,5,,
Fe,Ne,,,,Ne,,,0%,50%,,,50%,0%,,Fe,50%,https://api.personality-database.com/profile_images/29816.png,Dominic Sherwood,https://www.personality-database.com/profile/29816/dominic-sherwood-actors-british-isles-mbti-personality-type,,,,1,,,,,,,,,1,,,
Ne,Fi,,100%,93%,Te,,97%,97%,0%,90%,,0%,3%,,Si,,https://api.personality-database.com/profile_images/6405.png,Eddie Redmayne,https://www.personality-database.com/profile/6405/eddie-redmayne-actors-british-isles-mbti-personality-type,1,,,,,1,,,2,26,,,,,,
Se,Fi,,100%,69%,Te,,,31%,0%,100%,69%,0%,69%,,Ni,,https://api.personality-database.com/profile_images/15914.png,Ewan McGregor,https://www.personality-database.com/profile/15914/ewan-mcgregor-actors-british-isles-mbti-personality-type,,5,,,,,,,,,,,,11,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,/images/profile_transparent.png,Ferdia Walsh-Peelo,https://www.personality-database.com/profile/23607/ferdia-walshpeelo-actors-british-isles-mbti-personality-type,,1,,,,,,,,,,,,,,
Se,Fi,,,100%,Fe,,,0%,0%,100%,100%,0%,100%,,Ni,50%,https://api.personality-database.com/profile_images/11858.png,Fionn Whitehead,https://www.personality-database.com/profile/11858/fionn-whitehead-actors-british-isles-mbti-personality-type,,,,,,,,,,,,,,1,,1
Ne,Ti,,,100%,Fe,,100%,16%,84%,88%,,0%,0%,84%,Si,,https://api.personality-database.com/profile_images/3824.png,Freddie Highmore,https://www.personality-database.com/profile/3824/freddie-highmore-actors-british-isles-mbti-personality-type,,,,,,,,,3,1,,21,,,,
Ne,Fi,,76%,100%,Te,,100%,76%,24%,94%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/10098.png,Gary Oldman,https://www.personality-database.com/profile/10098/gary-oldman-actors-british-isles-mbti-personality-type,,,,,,,,,1,12,,4,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/34539.png,Gerard Butler,https://www.personality-database.com/profile/34539/gerard-butler-actors-british-isles-mbti-personality-type,,,,,,,,5,,,,,,,,
